chief_complaint_raw,cc_stripped
"overdose unknown substance, for 2 days",overdose unknown substance
"overdose unknown substance, intermittent",overdose unknown substance
"overdose unknown substance, no prior history of this",overdose unknown substance
"overdose unknown substance, onset today",overdose unknown substance
"overdose unknown substance, since yesterday",overdose unknown substance
"overdose unknown substance, worsening with movement",overdose unknown substance
overdose unknown substance，worsening over hours,overdose unknown substance
overdose unknown substance with associated nausea,overdose unknown substance with associated nausea
overdose unknown substance with diaphoresis,overdose unknown substance with diaphoresis
overdose unknown substance with fever,overdose unknown substance with fever
overdose unknown substance with rigors,overdose unknown substance with rigors
overdose unknown substance with vomiting,overdose unknown substance with vomiting
palpitations with near-syncope,palpitations with near-syncope
palpitations with near-syncope in known patient,palpitations with near-syncope
"palpitations with near-syncope, constant",palpitations with near-syncope
"palpitations with near-syncope, for 2 days",palpitations with near-syncope
"palpitations with near-syncope, intermittent",palpitations with near-syncope
"palpitations with near-syncope, no prior history of this",palpitations with near-syncope
"palpitations with near-syncope, onset today",palpitations with near-syncope
"palpitations with near-syncope, since yesterday",palpitations with near-syncope
"palpitations with near-syncope, worsening with movement",palpitations with near-syncope
palpitations with near-syncope，worsening over hours,palpitations with near-syncope
palpitations with near-syncope with associated nausea,palpitations with near-syncope with associated nausea
palpitations with near-syncope with diaphoresis,palpitations with near-syncope with diaphoresis
palpitations with near-syncope with fever,palpitations with near-syncope with fever
palpitations with near-syncope with rigors,palpitations with near-syncope with rigors
palpitations with near-syncope with vomiting,palpitations with near-syncope with vomiting
moderate pancreatitis stable,pancreatitis stable
moderate pancreatitis stable in known patient,pancreatitis stable
"moderate pancreatitis stable, constant",pancreatitis stable
"moderate pancreatitis stable, for 2 days",pancreatitis stable
"moderate pancreatitis stable, intermittent",pancreatitis stable
"moderate pancreatitis stable, no prior history of this",pancreatitis stable
"moderate pancreatitis stable, onset today",pancreatitis stable
"moderate pancreatitis stable, since yesterday",pancreatitis stable
"moderate pancreatitis stable, worsening with movement",pancreatitis stable
moderate pancreatitis stable，worsening over hours,pancreatitis stable
moderate pancreatitis stable with associated nausea,pancreatitis stable with associated nausea
moderate pancreatitis stable with diaphoresis,pancreatitis stable with diaphoresis
moderate pancreatitis stable with fever,pancreatitis stable with fever
moderate pancreatitis stable with rigors,pancreatitis stable with rigors
moderate pancreatitis stable with vomiting,pancreatitis stable with vomiting
panic attack now resolved,panic attack now resolved
panic attack now resolved in known patient,panic attack now resolved
"panic attack now resolved, constant",panic attack now resolved
"panic attack now resolved, for 2 days",panic attack now resolved
"panic attack now resolved, intermittent",panic attack now resolved
"panic attack now resolved, no prior history of this",panic attack now resolved
"panic attack now resolved, onset today",panic attack now resolved
"panic attack now resolved, since yesterday",panic attack now resolved
"panic attack now resolved, worsening with movement",panic attack now resolved
panic attack now resolved，worsening over hours,panic attack now resolved
panic attack now resolved with associated nausea,panic attack now resolved with associated nausea
panic attack now resolved with diaphoresis,panic attack now resolved with diaphoresis
panic attack now resolved with fever,panic attack now resolved with fever
panic attack now resolved with rigors,panic attack now resolved with rigors
panic attack now resolved with vomiting,panic attack now resolved with vomiting
pelvic fracture haemodynamically unstable,pelvic fracture haemodynamically unstable
pelvic fracture haemodynamically unstable in known patient,pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, constant",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, for 2 days",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, intermittent",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, no prior history of this",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, onset today",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, since yesterday",pelvic fracture haemodynamically unstable
"pelvic fracture haemodynamically unstable, worsening with movement",pelvic fracture haemodynamically unstable
pelvic fracture haemodynamically unstable，worsening over hours,pelvic fracture haemodynamically unstable
pelvic fracture haemodynamically unstable with associated nausea,pelvic fracture haemodynamically unstable with associated nausea
pelvic fracture haemodynamically unstable with diaphoresis,pelvic fracture haemodynamically unstable with diaphoresis
